"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.957457126E2,6.999340057E0,-6.148464233E-2,7.253781796E0
3.957957126E2,8.009181023E0,-2.931958809E-2,7.440071583E0
3.958457126E2,7.170681000E0,-1.348414570E-1,6.980101585E0
3.958957126E2,7.232504368E0,4.785063118E-2,6.794425964E0
3.959457126E2,7.022324562E0,-5.626201630E-3,6.844444752E0
3.959957126E2,7.083107948E0,-1.185550243E-1,6.744772434E0
3.960457126E2,6.641243458E0,-7.406761497E-2,6.547413826E0
3.960957126E2,7.079000473E0,-4.267251119E-3,6.511622429E0
3.961457126E2,5.942172050E0,-9.784381092E-2,6.219536781E0
3.961957126E2,6.250913620E0,1.829794422E-2,5.466558456E0
3.962457126E2,5.537846565E0,-8.684065938E-2,6.048165321E0
3.962957126E2,7.924330711E0,8.949965239E-3,6.831159115E0
3.963457126E2,5.706604958E0,-3.164307401E-2,6.130746841E0
3.963957126E2,6.859190941E0,-6.849011779E-2,6.075066566E0
3.964457126E2,6.731325626E0,-6.320386380E-2,6.818834305E0
3.964957126E2,8.070554733E0,-1.342795789E-3,7.417384624E0
3.965457126E2,8.619235992E0,3.870560229E-2,8.288482666E0
3.965957126E2,8.341384888E0,-1.830331832E-1,7.799363136E0
3.966457126E2,6.416090965E0,-1.824722998E-2,6.243946075E0
3.966957126E2,6.696025848E0,3.023090586E-2,6.391273499E0
3.967457126E2,7.481685638E0,-8.022896945E-2,7.030272484E0
3.967957126E2,6.478216648E0,-7.174783200E-2,6.400950432E0
3.968457126E2,6.976318359E0,-6.702277809E-2,6.519005299E0
3.968957126E2,6.615569115E0,-1.992243901E-2,6.515955925E0
3.969457126E2,7.070775986E0,-4.336502403E-2,6.568828583E0
3.969957126E2,6.873124599E0,-1.437302232E-1,6.760426044E0
3.970457126E2,7.304817200E0,1.854880154E-2,6.948069572E0
3.970957126E2,6.868860245E0,-2.203490585E-4,6.319890022E0
3.971457126E2,5.876959801E0,-9.287293255E-2,6.088423729E0
3.971957126E2,7.879019737E0,-1.996889710E-2,7.054459572E0
3.972457126E2,6.641165733E0,-1.655947864E-1,6.864151955E0
3.972957126E2,8.365347862E0,9.737068415E-2,7.318500042E0
3.973457126E2,8.072465897E0,-7.169762254E-2,8.049032211E0
3.973957126E2,8.180433273E0,-8.951535821E-2,7.588961601E0
3.974457126E2,7.182603836E0,-3.250838071E-2,6.959179878E0
3.974957126E2,7.639148712E0,-4.363805056E-2,7.216916084E0
3.975457126E2,6.664678574E0,4.263834655E-2,6.336731911E0
3.975957126E2,6.272391796E0,-6.183451787E-2,6.059243679E0
3.976457126E2,6.896615982E0,-9.295199811E-2,6.625300884E0
3.976957126E2,6.949165344E0,-4.986998439E-2,6.610736847E0
3.977457126E2,6.445618629E0,-3.434693068E-2,6.288966179E0
3.977957126E2,6.655520439E0,4.755537957E-3,6.420727730E0
3.978457126E2,6.633913040E0,-1.429487169E-1,6.252319336E0
3.978957126E2,5.921148777E0,-3.027930856E-2,5.977828503E0
3.979457126E2,7.764575958E0,-3.685060516E-2,7.148031712E0
3.979957126E2,6.955329895E0,-4.689136520E-2,7.096837997E0
3.980457126E2,7.857147217E0,-5.492504686E-2,6.989104748E0
3.980957126E2,6.189243793E0,-1.121198907E-1,6.720676422E0
3.981457126E2,8.389539719E0,4.914494604E-2,7.240944862E0
3.981957126E2,7.040021896E0,-1.692237556E-1,7.273667336E0
3.982457126E2,8.432224274E0,1.009205543E-2,7.663764954E0
3.982957126E2,6.808752537E0,-7.482935488E-2,6.691253662E0
3.983457126E2,6.295263290E0,-1.702892780E-2,6.083743572E0
3.983957126E2,6.988269329E0,-1.835006475E-2,6.384794235E0
3.984457126E2,5.844799995E0,-1.577703357E-1,5.968807220E0
3.984957126E2,7.166876793E0,-6.831441075E-2,6.481469631E0
3.985457126E2,5.402440071E0,1.309417654E-3,5.572275162E0
3.985957126E2,7.644575119E0,-3.758479282E-2,7.172128677E0
3.986457126E2,7.671761513E0,-8.523237705E-2,7.319127560E0
3.986957126E2,7.488486290E0,2.825351432E-2,7.283686638E0
3.987457126E2,8.155748367E0,-1.272525918E-2,7.579445839E0
3.987957126E2,7.255968094E0,1.016464084E-3,6.983101845E0
3.988457126E2,7.089697361E0,-1.017728150E-1,6.935568333E0
3.988957126E2,7.730247498E0,-3.607527167E-2,7.041076660E0
3.989457126E2,6.362114429E0,-5.563388392E-2,6.405128479E0
3.989957126E2,7.281935215E0,4.513349384E-2,6.736059666E0
3.990457126E2,6.694363117E0,-1.282429546E-1,6.553690434E0
3.990957126E2,6.593812943E0,-1.338444054E-1,6.377621651E0
3.991457126E2,6.729853153E0,9.202349931E-3,6.422527313E0
3.991957126E2,6.311668396E0,-3.095215186E-3,6.021903038E0
3.992457126E2,6.936262131E0,-8.199296892E-2,6.727947235E0
3.992957126E2,7.380854607E0,-1.236488372E-1,6.801367760E0
3.993457126E2,7.254037857E0,6.916924566E-2,7.230741501E0
3.993957126E2,7.182330608E0,-3.019923344E-2,6.519483566E0
3.994457126E2,7.548090935E0,-2.430298477E-1,7.377623558E0
3.994957126E2,8.664545059E0,1.626620293E-1,8.023533821E0
3.995457126E2,7.479239464E0,4.009197280E-2,7.182701111E0
3.995957126E2,7.287510872E0,-1.450511515E-1,7.018491745E0
3.996457126E2,6.962863922E0,-1.460884660E-1,6.702714920E0
3.996957126E2,6.824407578E0,3.238348663E-2,6.275920868E0
3.997457126E2,5.963932991E0,-2.624649182E-2,6.367156029E0
3.997957126E2,8.419379234E0,-1.312990300E-2,7.284806252E0
3.998457126E2,5.553564072E0,-3.711022437E-2,5.785711765E0
3.998957126E2,6.965509415E0,-1.485974789E-1,6.741714478E0
3.999457126E2,7.634309769E0,6.918807328E-2,6.833113670E0
3.999957126E2,5.416443825E0,-8.783778548E-2,5.886221886E0
4.000457126E2,7.884189606E0,-1.750050858E-2,6.613209724E0
4.000957126E2,6.268253326E0,-9.081113338E-2,6.799756050E0
4.001457126E2,9.127082825E0,-4.735398293E-2,7.889170647E0
4.001957126E2,7.786872387E0,-3.661812842E-2,7.926637650E0
4.002457126E2,8.127481461E0,-6.095670536E-2,7.580700397E0
4.002957126E2,7.308913231E0,-6.312271580E-3,6.901191235E0
4.003457126E2,6.589190483E0,-9.964697063E-2,6.419046402E0
4.003957126E2,6.866981506E0,-4.845633730E-2,6.498297691E0
4.004457126E2,6.404192924E0,-1.403714567E-1,6.155448914E0
4.004957126E2,5.808447361E0,1.214027032E-1,5.698526382E0
4.005457126E2,7.259590149E0,-1.997643337E-2,6.501780510E0
4.005957126E2,6.976227760E0,-1.272104681E-1,7.026913643E0
4.006457126E2,7.809243202E0,6.797842681E-2,6.931829453E0
4.006957126E2,6.283926964E0,-5.912649632E-2,6.489497185E0
4.007457126E2,6.843008995E0,1.437062398E-2,6.390120029E0
4.007957126E2,7.701556683E0,-6.174733862E-2,7.205913544E0
4.008457126E2,6.540114403E0,-8.869788051E-2,6.614529610E0
4.008957126E2,8.535424232E0,-1.012558863E-1,7.783156395E0
4.009457126E2,7.675990105E0,-4.144860432E-2,7.643389702E0
4.009957126E2,7.599872589E0,2.615848184E-2,7.023653030E0
4.010457126E2,7.696094036E0,-1.310005337E-1,7.487582207E0
4.010957126E2,7.537075996E0,-4.689775407E-2,7.054564476E0
4.011457126E2,6.582656860E0,4.936884344E-2,6.356364727E0
4.011957126E2,6.454388618E0,-3.931837156E-2,6.180774689E0
4.012457126E2,6.080685616E0,-1.567865014E-1,5.850914955E0
4.012957126E2,6.339242935E0,-2.651177533E-2,6.050055981E0
4.013457126E2,7.485723495E0,-4.254908860E-2,7.208355904E0
4.013957126E2,6.642709732E0,8.122171462E-2,6.284472942E0
4.014457126E2,6.845936775E0,-6.894221902E-2,6.698502541E0
4.014957126E2,7.301604271E0,-1.491787583E-1,6.773347855E0
4.015457126E2,6.650665760E0,-2.871445194E-2,6.888731956E0
4.015957126E2,8.337863922E0,-1.024650224E-2,7.411013603E0
4.016457126E2,7.686652184E0,-1.259036064E-1,7.723625183E0
4.016957126E2,8.478138924E0,1.432143748E-1,7.606967926E0
4.017457126E2,6.666947842E0,-8.752188087E-2,6.675650120E0
4.017957126E2,7.585862637E0,-1.239105761E-1,7.119062424E0
4.018457126E2,7.056689262E0,-1.125250943E-3,6.549179554E0
4.018957126E2,5.823240757E0,-2.081269771E-2,6.007163525E0
4.019457126E2,7.623475075E0,-5.649702623E-3,6.911894798E0
4.019957126E2,6.908556461E0,-5.778728426E-2,6.853003979E0
4.020457126E2,6.901851654E0,-3.933123872E-2,6.381188393E0
4.020957126E2,6.532291889E0,-9.607176483E-2,6.527103424E0
4.021457126E2,6.616925240E0,-1.050623599E-2,6.219578743E0
4.021957126E2,5.580745697E0,-1.683388352E-1,5.651145935E0
4.022457126E2,6.577523708E0,-1.277766284E-2,6.090119362E0
4.022957126E2,8.077045441E0,-3.073041514E-2,8.038213730E0
4.023457126E2,8.092559814E0,1.521238126E-2,7.418728828E0
4.023957126E2,6.848251343E0,-1.455848217E-1,6.907652855E0
4.024457126E2,8.335977554E0,-3.407634422E-2,7.615204811E0
4.024957126E2,7.114821434E0,1.365822703E-1,6.797763824E0
4.025457126E2,5.980082512E0,-1.484189928E-1,6.064937592E0
4.025957126E2,7.736228943E0,-8.514536172E-2,7.035158157E0
4.026457126E2,6.179345131E0,-3.790372238E-2,6.230923653E0
4.026957126E2,6.749633312E0,9.924947470E-2,6.210885048E0
4.027457126E2,6.794321060E0,-1.234908402E-1,6.753563881E0
4.027957126E2,7.473586082E0,-1.411851943E-1,6.866435051E0
4.028457126E2,6.114197731E0,-1.204495281E-1,6.153985023E0
4.028957126E2,6.675702095E0,1.692780107E-1,6.267359734E0
4.029457126E2,6.365284920E0,-1.240560114E-1,6.222162247E0
4.029957126E2,8.474565506E0,-1.524625719E-1,8.143737793E0
4.030457126E2,8.006580353E0,-9.668508545E-3,7.520387650E0
4.030957126E2,7.567918301E0,-5.188880116E-2,7.610037327E0
4.031457126E2,8.756630898E0,4.750638828E-2,7.904584885E0
4.031957126E2,6.945070267E0,-1.558510363E-1,6.834852695E0
4.032457126E2,6.619984627E0,-2.476474643E-2,6.338582516E0
4.032957126E2,6.162002087E0,5.641344935E-3,5.869114399E0
4.033457126E2,6.474565506E0,-1.146388352E-1,6.348574162E0
4.033957126E2,6.746212006E0,-2.434570715E-2,6.167526245E0
4.034457126E2,6.945795059E0,-1.008651182E-1,7.059494972E0
4.034957126E2,7.539055824E0,-2.176555991E-2,6.774059772E0
4.035457126E2,6.789723396E0,-5.134461913E-3,6.885280609E0
4.035957126E2,7.398669243E0,-2.975296602E-2,6.848634243E0
4.036457126E2,7.531521797E0,-5.154168233E-2,7.091345787E0
