"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
6.285288358E2,3.134335709E1,1.825851440E0,2.490615845E0
6.285788358E2,3.158923721E1,3.858047485E0,2.888511658E0
6.286288358E2,3.004993629E1,3.790397644E0,2.875167847E0
6.286788358E2,3.241006470E1,4.649909973E0,4.704521179E0
6.287288358E2,3.169738770E1,6.192344666E0,3.561264038E0
6.287788358E2,3.226608276E1,8.713760376E0,3.397087097E0
6.288288358E2,3.105102158E1,9.298645020E0,2.260452271E0
6.288788358E2,3.142252541E1,1.087959290E1,1.825843811E0
6.289288358E2,3.129423141E1,1.133437347E1,2.378639221E0
6.289788358E2,3.291747284E1,1.343805695E1,1.949394226E0
6.290288358E2,3.494152832E1,1.399109650E1,2.241157532E0
6.290788358E2,3.280947113E1,1.436147308E1,2.496887207E0
6.291288358E2,3.493366623E1,1.725942993E1,2.622230530E0
6.291788358E2,3.485248566E1,1.538491058E1,2.643470764E0
6.292288358E2,3.598429871E1,1.701206207E1,1.236518860E0
6.292788358E2,3.581265259E1,1.636807251E1,2.221282959E0
6.293288358E2,3.743579865E1,1.830670166E1,2.493118286E0
6.293788358E2,3.865264893E1,1.854534912E1,2.642669678E-1
6.294288358E2,3.928028870E1,1.839141846E1,2.229415894E0
6.294788358E2,3.957061768E1,1.809784698E1,1.816047668E0
6.295288358E2,4.086276245E1,1.922772980E1,3.212936401E0
6.295788358E2,4.187957001E1,1.819931793E1,1.836074829E0
6.296288358E2,4.348384857E1,1.983260345E1,1.552001953E0
6.296788358E2,4.422234344E1,1.908184814E1,1.847251892E0
6.297288358E2,4.665931702E1,1.823335266E1,3.417686462E0
6.297788358E2,4.750065231E1,1.689636993E1,1.203865051E0
6.298288358E2,4.939231491E1,1.774443817E1,2.329917908E0
6.298788358E2,4.939231491E1,1.774443817E1,2.329917908E0
6.299288358E2,5.042247391E1,1.669831848E1,2.351654053E0
6.299788358E2,5.042247391E1,1.669831848E1,2.351654053E0
6.300288358E2,5.009030914E1,1.622148132E1,1.934715271E0
6.300788358E2,5.005648804E1,1.544042969E1,1.943565369E0
6.301288358E2,5.172800064E1,1.488292694E1,2.524765015E0
6.301788358E2,5.010333252E1,1.261594391E1,3.515213013E0
6.302288358E2,5.326011276E1,1.104146576E1,3.422866821E0
6.302788358E2,5.234881973E1,1.148012543E1,2.570381165E0
6.303288358E2,5.278737259E1,1.054014587E1,4.403182983E0
6.303788358E2,5.491809082E1,1.017153931E1,4.007606506E0
6.304288358E2,5.357182693E1,7.791976929E0,2.624877930E0
6.304788358E2,5.362166977E1,8.551788330E0,4.294342041E0
6.305288358E2,5.418185043E1,7.165870667E0,4.875061035E0
6.305788358E2,5.413449478E1,6.072395325E0,4.887451172E0
6.306288358E2,5.440470505E1,5.640319824E0,3.077247620E0
6.306788358E2,5.423581314E1,5.157836914E0,3.640655518E0
6.307288358E2,5.586682510E1,3.828132629E0,3.531417847E0
6.307788358E2,5.365777969E1,2.648796082E0,2.825820923E0
6.308288358E2,5.421919632E1,1.096054077E0,4.247459412E0
6.308788358E2,5.291467667E1,-6.781158447E-1,4.396102905E0
6.309288358E2,5.358552170E1,-2.990997314E0,4.709053040E0
6.309788358E2,5.348137665E1,-5.330612183E0,4.455879211E0
6.310288358E2,5.168833923E1,-4.162109375E0,4.425697327E0
6.310788358E2,5.049297333E1,-7.191604614E0,5.568870544E0
6.311288358E2,5.089806366E1,-8.252395630E0,4.606239319E0
6.311788358E2,5.014143372E1,-1.189175415E1,6.180068970E0
6.312288358E2,4.728414154E1,-1.095335388E1,8.240219116E0
6.312788358E2,4.626745605E1,-1.268748474E1,6.293640137E0
6.313288358E2,4.616331482E1,-1.502709961E1,6.040466309E0
6.313788358E2,4.631581879E1,-1.518362427E1,6.603004456E0
6.314288358E2,4.390806198E1,-1.763179016E1,6.889251709E0
6.314788358E2,4.228791046E1,-1.598612976E1,6.715240479E0
6.315288358E2,4.112254715E1,-1.789916992E1,6.027832031E0
6.315788358E2,3.927520752E1,-1.831044006E1,7.413955688E0
6.316288358E2,3.904570770E1,-1.970362854E1,5.890090942E0
6.316788358E2,3.745477676E1,-2.135462952E1,7.572761536E0
