"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.792896000E2,-4.678976722E-3,5.669929553E-3,2.594902180E-2
3.793396000E2,-1.669978909E-2,-1.289227512E-2,-2.487910539E-2
3.793896000E2,-1.243933849E-2,-1.858937787E-3,-5.716634914E-2
3.794396000E2,-6.781742908E-3,-1.443592738E-2,2.682311274E-2
3.794896000E2,2.720528655E-2,1.031855028E-2,6.431318820E-2
3.795396000E2,3.893278539E-2,-3.892488033E-2,1.607181132E-2
3.795896000E2,4.129091278E-2,5.890508369E-2,-5.399280414E-2
3.796396000E2,4.428896680E-2,-4.068376496E-2,-4.154276475E-2
3.796896000E2,8.198332042E-2,4.282758571E-3,1.454970706E-2
3.797396000E2,6.421084702E-2,2.406316623E-2,5.963557214E-2
3.797896000E2,2.542986535E-2,8.314568549E-5,3.560571373E-2
3.798396000E2,2.356221341E-2,-2.968684211E-2,-4.268809035E-2
3.798896000E2,1.164316665E-2,1.020078920E-2,-4.542934150E-2
3.799396000E2,-3.390667727E-3,6.952977739E-3,3.563821688E-2
3.799896000E2,-8.003839292E-3,6.054894254E-2,3.932177275E-2
3.800396000E2,-2.450625412E-2,-6.125346199E-2,-5.558047444E-2
3.800896000E2,-1.892293058E-2,2.421236038E-2,-2.522244863E-2
3.801396000E2,-2.956183162E-4,-3.825601190E-2,1.592893340E-2
3.801896000E2,-2.812675666E-4,1.855379716E-2,3.530016541E-2
3.802396000E2,2.103995346E-2,-2.248228714E-2,2.558025531E-2
3.802896000E2,1.242476236E-2,6.631923467E-2,-2.654286847E-2
3.803396000E2,-1.051740069E-2,-5.505240336E-2,-4.941508919E-2
3.803896000E2,-8.534151129E-3,9.801970795E-3,2.169686556E-2
3.804396000E2,-2.691990882E-2,5.882350728E-3,6.337675452E-2
3.804896000E2,-3.164318576E-2,-5.163690820E-2,1.095293276E-2
3.805396000E2,-5.027510598E-2,5.656917393E-2,-5.581825972E-2
3.805896000E2,-1.999472827E-2,-1.865552366E-2,-4.072838649E-2
3.806396000E2,-3.323040530E-2,-1.024632808E-2,1.368597057E-2
